ts,gpu,gr_engine_active,dram_active,tensor_active,power_w,fb_used_mib
1781293101,1,0.748158,0.229899,0.157612,754.682000,170009
1781293101,2,0.755321,0.228981,0.157796,755.903000,170107
1781293101,3,0.798034,0.232718,0.177653,877.718000,169269
1781293101,4,0.773294,0.231557,0.176924,883.792000,169269
1781293101,5,0.825206,0.237563,0.166756,836.473000,170115
1781293101,6,0.760044,0.228260,0.164692,806.608000,170385
1781293101,7,0.770843,0.227944,0.165060,767.769000,170183
1781293103,0,0.751829,0.238606,0.168809,848.389000,170181
1781293103,1,0.748158,0.229899,0.157612,754.682000,170009
1781293103,2,0.755321,0.228981,0.157796,755.903000,170107
1781293103,3,0.798034,0.232718,0.177653,877.718000,169269
1781293103,4,0.773294,0.231557,0.176924,883.792000,169269
1781293103,5,0.825206,0.237563,0.166756,836.473000,170115
1781293103,6,0.760044,0.228260,0.164692,806.608000,170385
1781293103,7,0.770843,0.227944,0.165060,767.769000,170183
1781293105,0,0.751829,0.238606,0.168809,848.389000,170181
1781293105,1,0.748158,0.229899,0.157612,754.682000,170009
1781293105,2,0.755321,0.228981,0.157796,755.903000,170107
1781293105,3,0.798034,0.232718,0.177653,877.718000,169269
1781293105,4,0.773294,0.231557,0.176924,883.792000,169269
1781293105,5,0.825206,0.237563,0.166756,836.473000,170115
1781293105,6,0.760044,0.228260,0.164692,806.608000,170385
1781293105,7,0.770843,0.227944,0.165060,767.769000,170183
1781293107,0,0.751829,0.238606,0.168809,848.389000,170181
1781293107,1,0.748158,0.229899,0.157612,754.682000,170009
1781293107,2,0.755321,0.228981,0.157796,755.903000,170107
1781293107,3,0.798034,0.232718,0.177653,877.718000,169269
1781293107,4,0.773294,0.231557,0.176924,883.792000,169269
1781293107,5,0.825206,0.237563,0.166756,836.473000,170115
1781293107,6,0.760044,0.228260,0.164692,806.608000,170385
1781293107,7,0.770843,0.227944,0.165060,767.769000,170183
1781293109,0,0.751829,0.238606,0.168809,848.389000,170181
1781293109,1,0.748158,0.229899,0.157612,754.682000,170009
1781293109,2,0.755321,0.228981,0.157796,755.903000,170107
1781293109,3,0.798034,0.232718,0.177653,877.718000,169269
1781293109,4,0.773294,0.231557,0.176924,883.792000,169269
1781293109,5,0.825206,0.237563,0.166756,836.473000,170115
1781293109,6,0.760044,0.228260,0.164692,806.608000,170385
1781293109,7,0.770843,0.227944,0.165060,767.769000,170183
1781293111,0,0.751829,0.238606,0.168809,848.389000,170181
1781293111,1,0.748158,0.229899,0.157612,754.682000,170009
1781293111,2,0.755321,0.228981,0.157796,755.903000,170107
1781293111,3,0.798034,0.232718,0.177653,877.718000,169269
1781293111,4,0.773294,0.231557,0.176924,883.792000,169269
1781293111,5,0.825206,0.237563,0.166756,836.473000,170115
1781293111,6,0.760044,0.228260,0.164692,806.608000,170385
1781293111,7,0.770843,0.227944,0.165060,767.769000,170183
1781293113,0,0.751829,0.238606,0.168809,848.389000,170181
1781293113,1,0.748158,0.229899,0.157612,754.682000,170009
1781293113,2,0.755321,0.228981,0.157796,755.903000,170107
1781293113,3,0.798034,0.232718,0.177653,877.718000,169269
1781293113,4,0.773294,0.231557,0.176924,883.792000,169269
1781293113,5,0.825206,0.237563,0.166756,836.473000,170115
1781293113,6,0.760044,0.228260,0.164692,806.608000,170385
1781293113,7,0.770843,0.227944,0.165060,767.769000,170183
1781293115,0,0.751829,0.238606,0.168809,848.389000,170181
1781293115,1,0.748158,0.229899,0.157612,754.682000,170009
1781293115,2,0.755321,0.228981,0.157796,755.903000,170107
1781293115,3,0.798034,0.232718,0.177653,877.718000,169269
1781293115,4,0.773294,0.231557,0.176924,883.792000,169269
1781293115,5,0.825206,0.237563,0.166756,836.473000,170115
1781293115,6,0.760044,0.228260,0.164692,806.608000,170385
