#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:45:49       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:50       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:50       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:51       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:51       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:52       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:52       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:53       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:53       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:54       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:54       1    100     50      0      0      0      0  12481   2407  91769  91770      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:45:55       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:55       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:56       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:56       1    100     48      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:57       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:57       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:58       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:58       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:45:59       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:45:59       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:00       0    100     53      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:00       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
 20260615    13:46:01       0    100     52      0      0      0      0  12481   2400  91763  91764      0 
 20260615    13:46:01       1    100     49      0      0      0      0  12481   2407  91769  91770      0 
